"ID","Category","DispelType","Mechanic","Attributes","AttributesEx","AttributesExB","AttributesExC","AttributesExD","AttributesExE","AttributesExF","AttributesExG","ShapeshiftMask","ShapeshiftExclude","Targets","TargetCreatureType","RequiresSpellFocus","FacingCasterFlags","CasterAuraState","TargetAuraState","ExcludeCasterAuraState","ExcludeTargetAuraState","CasterAuraSpell","TargetAuraSpell","ExcludeCasterAuraSpell","ExcludeTargetAuraSpell","CastingTimeIndex","RecoveryTime","CategoryRecoveryTime","InterruptFlags","AuraInterruptFlags","ChannelInterruptFlags","ProcTypeMask","ProcChance","ProcCharges","MaxLevel","BaseLevel","SpellLevel","DurationIndex","PowerType","ManaCost","ManaCostPerLevel","ManaPerSecond","ManaPerSecondPerLevel","RangeIndex","Speed","ModalNextSpell","CumulativeAura","Totem_1","Totem_2","Reagent_1","Reagent_2","Reagent_3","Reagent_4","Reagent_5","Reagent_6","Reagent_7","Reagent_8","ReagentCount_1","ReagentCount_2","ReagentCount_3","ReagentCount_4","ReagentCount_5","ReagentCount_6","ReagentCount_7","ReagentCount_8","EquippedItemClass","EquippedItemSubclass","EquippedItemInvTypes","Effect_1","Effect_2","Effect_3","EffectDieSides_1","EffectDieSides_2","EffectDieSides_3","EffectRealPointsPerLevel_1","EffectRealPointsPerLevel_2","EffectRealPointsPerLevel_3","EffectBasePoints_1","EffectBasePoints_2","EffectBasePoints_3","EffectMechanic_1","EffectMechanic_2","EffectMechanic_3","ImplicitTargetA_1","ImplicitTargetA_2","ImplicitTargetA_3","ImplicitTargetB_1","ImplicitTargetB_2","ImplicitTargetB_3","EffectRadiusIndex_1","EffectRadiusIndex_2","EffectRadiusIndex_3","EffectAura_1","EffectAura_2","EffectAura_3","EffectAuraPeriod_1","EffectAuraPeriod_2","EffectAuraPeriod_3","EffectMultipleValue_1","EffectMultipleValue_2","EffectMultipleValue_3","EffectChainTargets_1","EffectChainTargets_2","EffectChainTargets_3","EffectItemType_1","EffectItemType_2","EffectItemType_3","EffectMiscValue_1","EffectMiscValue_2","EffectMiscValue_3","EffectMiscValueB_1","EffectMiscValueB_2","EffectMiscValueB_3","EffectTriggerSpell_1","EffectTriggerSpell_2","EffectTriggerSpell_3","EffectPointsPerCombo_1","EffectPointsPerCombo_2","EffectPointsPerCombo_3","EffectSpellClassMaskA_1","EffectSpellClassMaskA_2","EffectSpellClassMaskA_3","EffectSpellClassMaskB_1","EffectSpellClassMaskB_2","EffectSpellClassMaskB_3","EffectSpellClassMaskC_1","EffectSpellClassMaskC_2","EffectSpellClassMaskC_3","SpellVisualID_1","SpellVisualID_2","SpellIconID","ActiveIconID","SpellPriority","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","NameSubtext_Lang_enUS","NameSubtext_Lang_enGB","NameSubtext_Lang_koKR","NameSubtext_Lang_frFR","NameSubtext_Lang_deDE","NameSubtext_Lang_enCN","NameSubtext_Lang_zhCN","NameSubtext_Lang_enTW","NameSubtext_Lang_zhTW","NameSubtext_Lang_esES","NameSubtext_Lang_esMX","NameSubtext_Lang_ruRU","NameSubtext_Lang_ptPT","NameSubtext_Lang_ptBR","NameSubtext_Lang_itIT","NameSubtext_Lang_Unk","NameSubtext_Lang_Mask","Description_Lang_enUS","Description_Lang_enGB","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_enCN","Description_Lang_zhCN","Description_Lang_enTW","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_ptPT","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk","Description_Lang_Mask","AuraDescription_Lang_enUS","AuraDescription_Lang_enGB","AuraDescription_Lang_koKR","AuraDescription_Lang_frFR","AuraDescription_Lang_deDE","AuraDescription_Lang_enCN","AuraDescription_Lang_zhCN","AuraDescription_Lang_enTW","AuraDescription_Lang_zhTW","AuraDescription_Lang_esES","AuraDescription_Lang_esMX","AuraDescription_Lang_ruRU","AuraDescription_Lang_ptPT","AuraDescription_Lang_ptBR","AuraDescription_Lang_itIT","AuraDescription_Lang_Unk","AuraDescription_Lang_Mask","ManaCostPct","StartRecoveryCategory","StartRecoveryTime","MaxTargetLevel","SpellClassSet","SpellClassMask_1","SpellClassMask_2","SpellClassMask_3","MaxTargets","DefenseType","PreventionType","StanceBarOrder","EffectChainAmplitude_1","EffectChainAmplitude_2","EffectChainAmplitude_3","MinFactionID","MinReputation","RequiredAuraVision","RequiredTotemCategoryID_1","RequiredTotemCategoryID_2","RequiredAreasID","SchoolMask","RuneCostID","SpellMissileID","PowerDisplayID","Field227","Field228","Field229","SpellDescriptionVariableID","SpellDifficultyID"
"3231","0","0","0","32","1024","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3182","0","1656","0","0","Neck Enchant +3 Agility","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","Permanently enchant a neck to give $7473s1 Agility.","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"6476","0","0","0","32","1024","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","65540","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1436","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3182","0","1","0","0","Neck Enchant +10 Shadow Resistance","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","Permanently enchant a neck to give $13523s1 Shadow Resistance.","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"8375","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","101","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","906","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3182","0","1","0","0","Neck Enchant +5 Mining","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","Permanently enchant neck to grant +$13838s1 mining skill.","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"19932","0","0","0","65568","1024","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","0","0","0","101","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","53","0","0","1","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3182","0","241","0","0","Neck Enchant +7 Fire Resistance","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","Permanently enchant a neck to give $13652s1 Fire Resistance.","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"22051","0","0","0","65568","1024","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","0","0","0","101","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","53","0","0","1","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1885","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3182","0","241","0","0","Neck Enchant +9 Strength","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","Permanently enchants neck to give $19984s1 Strength.","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"22052","0","0","0","65568","1024","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","0","0","0","101","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","53","0","0","1","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1886","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3182","0","241","0","0","Neck Enchant +9 Stamina","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","Permanently enchants necklace to give $19985s1 Stamina.","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"22053","0","0","0","65568","1024","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","0","0","0","101","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","53","0","0","1","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1884","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3182","0","241","0","0","Neck Enchant +9 Spirit","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","Permanently enchants neck to give $19986s1 Spirit.","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"22054","0","0","0","65568","1024","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","0","0","0","101","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","53","0","0","1","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1883","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3182","0","241","0","0","Neck Enchant +7 Intellect","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","Permanently enchants neck to give $13825s1 Intellect.","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"22089","0","0","0","65568","1024","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","0","0","0","101","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","53","0","0","1","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1892","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3182","0","241","0","0","Neck Enchant +100 Health","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","Permanently enchant neck to grant $19990s1 health.","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"22090","0","0","0","65568","1024","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","0","0","1","0","0","15","0","0","0","101","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","53","0","0","1","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1893","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3182","0","241","0","0","Neck Enchant +100 Mana","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","Permanently enchant neck to give +100 mana.","","","","","","","","","","","","","","","","16712190","","","","","","","","","","","","","","","","","16712190","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
